dataocorrencia,lat,lon
2019-11-30,-23.443233877269602,-46.729633831049796
2019-11-30,-23.586724856333298,-46.767917618888795
2019-11-30,-23.4942820607193,-46.995913253694496
2019-11-30,-23.4942820607193,-46.995913253694496
2019-11-30,-23.730910958019198,-46.7202886577884
2019-11-30,-23.730910958019198,-46.7202886577884
2019-11-30,-23.730910958019198,-46.7202886577884
2019-11-30,-23.730910958019198,-46.7202886577884
2019-11-30,-23.730910958019198,-46.7202886577884
2019-11-30,-23.730910958019198,-46.7202886577884
2019-11-30,-23.6385847847013,-46.6694899788051
2019-11-30,-23.5425680175076,-46.611047226629495
2019-11-30,-23.5425680175076,-46.611047226629495
2019-11-30,-23.5425680175076,-46.611047226629495
2019-11-30,-23.5425680175076,-46.611047226629495
2019-11-30,,
2019-11-30,,
2019-11-30,-23.4888023812909,-46.3444678735818
2019-11-30,-24.005760318666603,-46.413184959316595
2019-11-30,-24.005760318666603,-46.413184959316595
2019-11-30,-24.005760318666603,-46.413184959316595
2019-11-30,-24.005760318666603,-46.413184959316595
2019-11-30,-23.632027412,-46.5426638769999
2019-11-30,-21.2637855597234,-48.31738783978721
2019-11-29,-23.477695075875,-46.470678899750006
2019-11-29,-23.477695075875,-46.470678899750006
2019-11-29,-23.477695075875,-46.470678899750006
2019-11-29,-23.477695075875,-46.470678899750006
2019-01-12,-22.948180251925898,-47.089386126
2019-11-30,-23.4754049389999,-46.698787167
2019-11-30,-23.608705800000003,-46.5911502
2019-11-30,,
2019-11-30,,
2019-11-30,-23.6385847847013,-46.6694899788051
2019-11-30,-23.6385847847013,-46.6694899788051
2019-11-30,-23.6385847847013,-46.6694899788051
2019-11-30,-23.6385847847013,-46.6694899788051
2019-11-30,-21.130909389,-48.014202858999994
2019-11-30,-23.598320530255798,-46.604509993186
2019-11-30,-23.598320530255798,-46.604509993186
2019-11-30,-23.598320530255798,-46.604509993186
2019-11-30,-23.598320530255798,-46.604509993186
2019-11-30,-23.598320530255798,-46.604509993186
2019-11-30,-23.598320530255798,-46.604509993186
2019-11-30,-23.598320530255798,-46.604509993186
2019-11-30,-23.598320530255798,-46.604509993186
2019-01-12,-23.652694100581304,-46.755854912465104
2019-11-30,-23.150823086891197,-47.0577842075381
2019-01-12,-23.602644844416698,-46.751719006082496
2019-01-12,-22.779021523,-47.3532559659999
2019-11-30,-23.6199080240619,-46.49755461076321
2019-11-30,-23.6199080240619,-46.49755461076321
2019-11-30,-23.6199080240619,-46.49755461076321
